"Ticker","Nome","Negócios","Última (R$)","Variação"
"NGRD3","Neogrid","3.200","26,00","+0,27%"
"ENGI4","Energisa","3.200","8,89","-1,22%"
"HOOT4","Hotéis Othon","3.200","3,65","+0,55%"
"ENGI3","Energisa","3.100","12,64","-1,40%"
"BIED3","BIED3","3.100","3,89","+1,30%"
"ISAE3","ISA Energia","3.000","31,95","+1,43%"
"UNIP3","Unipar","2.700","55,49","+0,76%"
"MTSA4","Metisa","2.700","43,96","-0,07%"
"WLMM4","WLM","2.600","29,99","+0,84%"
"BPAC3","Banco BTG Pactual","2.500","22,27","-3,17%"
"WHRL3","Whirlpool","2.300","4,49","-0,22%"
"EMAE4","EMAE","2.100","30,34","-0,65%"
"MOAR3","Monteiro Aranha","2.000","166,50","-6,98%"
"DEXP4","Dexxos","2.000","9,22","+0,00%"
"AFLT3","Afluente T","2.000","7,40","-4,52%"
"AVLL3","Alphaville","2.000","2,19","-1,79%"
"PPLA11","PPLA","1.981","1,18","+13,46%"
"BGIP4","Banese","1.900","30,00","+0,00%"
"BRSR3","Banrisul","1.800","12,38","-0,96%"
"NEXP3","Brasil Brokers","1.800","3,74","-2,86%"
"COCE5","Coelce","1.700","26,83","-0,63%"
"WHRL4","Whirlpool","1.700","4,88","+0,00%"
"RNEW11","Renova Energia","1.700","2,65","+4,74%"
"ALUP3","Alupar","1.500","11,05","+0,27%"
"BSLI3","Banco de Brasília","1.500","7,49","+2,18%"
"NORD3","Nordon","1.500","6,79","+17,07%"
"MNPR3","Minupar","1.400","23,81","-4,72%"
"PINE3","Banco Pine","1.000","5,15","+0,00%"
"CTSA4","Santanense","1.000","2,40","-2,83%"
"AZEV11","Azevedo & Travassos","1.000","0,17","+0,00%"
"CGAS5","Comgás","900","127,00","-0,78%"
"BEES4","Banestes","900","8,73","+0,58%"
"BSLI4","Banco de Brasília","800","7,70","+0,26%"
"CBEE3","Ampla Energia","600","9,23","-2,94%"
"ENMT3","Energisa MT","500","75,99","+7,79%"
"EUCA3","Eucatex","500","17,93","-0,39%"
"PTNT3","Pettenati","500","9,00","+2,27%"
"GSHP3","General Shopping & Outlets","500","5,28","+0,19%"
"HAGA3","Haga","500","1,96","+0,00%"
"RSUL4","Metalúrgica Riosulense","400","68,05","-2,74%"
"UNIP5","Unipar","400","57,02","-2,66%"
"REDE3","Rede Energia","400","6,80","+2,10%"
"PEAB4","Participações Aliança da Bahia","300","48,99","+2,02%"
"PATI3","Panatlântica","300","33,00","+0,00%"
"BALM4","Baumer","300","15,79","+0,00%"
"USIM6","Usiminas","300","8,00","+0,00%"
"SNSY5","Sansuy","300","4,46","+1,13%"
"DOHL4","Döhler","300","3,85","+0,00%"
"BAUH4","Excelsior","200","81,86","-0,01%"
"GEPA4","Rio Paranapanema Energia","200","35,60","+2,74%"
"CTKA4","Karsten","200","33,81","-5,82%"
"FRIO3","Metalfrio","100","279,98","+0,00%"
"BNBR3","Banco do Nordeste","100","100,50","+0,50%"
"EKTR4","Elektro","100","50,50","+0,00%"
"SOND6","Sondotécnica","100","42,99","+0,00%"
"EQMA3B","Equatorial Maranhão","100","25,99","+1,92%"
"CRPG6","Tronox Pigmentos","100","21,45","+2,19%"
"MWET4","Wetzel","100","13,15","+1,94%"
"FESA3","Ferbasa","100","11,97","-0,17%"
"RPMG3","Refinaria de Manguinhos","100","2,98","+2,76%"
"BMKS3","Monark","10","367,03","-3,41%"
"MNDL3","Mundial","2.600","19,50","+8,33%"
"DTCY3","Dtcom","1.300","3,50","-0,28%"
"CGRA3","Grazziotin","500","28,00","+1,41%"
"CRPG3","Tronox Pigmentos","400","21,50","+2,38%"
"CPLE5","Copel","300","12,90","+2,79%"
"SNSY3","Sansuy","200","11,90","+1,28%"
"CGAS3","Comgás","100","138,95","+7,30%"
"PEAB3","Participações Aliança da Bahia","100","39,00","+0,00%"
"BGIP3","Banese","100","31,36","-2,00%"
"BMIN3","Banco Mercantil de Investimentos","100","19,29","-1,08%"
"PINE11","Banco Pine","100","7,00","-6,67%"
"BMEB3","Banco Mercantil do Brasil","1.200","32,02","-0,56%"
"PLAS3","Plascar","800","5,80","-3,33%"
"CLSC3","Celesc","700","89,00","+7,23%"
"WLMM3","WLM","700","24,61","-9,46%"
"AHEB5","São Paulo Turismo","600","50,00","+0,00%"
"BDLL4","Bardella","500","8,00","+0,00%"
"BDLL3","Bardella","200","8,50","-1,16%"
"CEEB3","COELBA","600","37,49","+1,32%"
"HBTS5","Habitasul","300","30,00","-3,07%"
"MTSA3","Metisa","100","75,00","-0,66%"
"LIPR3","Eletropar","100","36,01","+0,00%"
"RPAD3","Alfa Holdings","100","4,30","+2,38%"
"BMIN4","Banco Mercantil de Investimentos","400","16,99","+2,97%"
"TKNO4","Tekno","300","80,05","-1,17%"
"BRKM6","Braskem","300","6,83","+0,15%"
"GEPA3","Rio Paranapanema Energia","100","32,83","-6,20%"
"GPAR3","CELGPAR","100","22,90","-8,40%"
"BRSR5","Banrisul","100","15,31","-7,21%"
"HETA4","Hercules","100","5,51","+0,00%"
"MAPT3","Cemepe","100","3,05","+0,00%"
"COCE3","Coelce","200","25,60","+2,36%"
"MAPT4","Cemepe","100","3,00","+0,00%"
"ESTR4","Estrela","500","4,45","+3,49%"
"CTSA3","Santanense","100","4,30","+1,18%"
"AHEB3","São Paulo Turismo","100","45,00","+0,00%"
"PATI4","Panatlântica","100","34,00","+0,00%"
"CEED3","CEEE D","500","8,90","-1,33%"
"MRSA3B","MRS Logística","200","28,95","+0,00%"
"AHEB6","São Paulo Turismo","100","55,00","+0,00%"
